
=== openai/gpt-5.4-mini → results/raw/followup-openai_gpt-5.4-mini.jsonl
Study G: 360 cells (0 already done) for openai/gpt-5.4-mini
  follow-s-1 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G1 × N0: dropped (phase1 ok, fillers 0/0)
  follow-s-1 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G1 × N6: APPLIED (phase1 ok, fillers 4/6)
  follow-s-1 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G4 × N2: dropped (phase1 ok, fillers 2/2)
  follow-s-1 × G5 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-2 × G1 × N0: dropped (phase1 ok, fillers 0/0)
  follow-s-2 × G1 × N2: dropped (phase1 ok, fillers 2/2)
  follow-s-2 × G1 × N6: dropped (phase1 ok, fillers 2/6)
  follow-s-1 × G5 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G4 × N2: dropped (phase1 ok, fillers 2/2)
  follow-s-2 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G5 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-2 × G5 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-3 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-2 × G5 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-3 × G1 × N2: APPLIED (phase1 ok, fillers 1/2)
  follow-s-3 × G2 × N2: APPLIED (phase1 ok, fillers 1/2)
  follow-s-3 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-3 × G1 × N6: APPLIED (phase1 ok, fillers 4/6)
  follow-s-3 × G4 × N2: dropped (phase1 ok, fillers 1/2)
  follow-s-2 × G5 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-4 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-3 × G5 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-4 × G1 × N2: dropped (phase1 ok, fillers 1/2)
  follow-s-4 × G1 × N6: APPLIED (phase1 ok, fillers 1/6)
  follow-s-3 × G5 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-4 × G2 × N2: APPLIED (phase1 ok, fillers 1/2)
  follow-s-4 × G3 × N2: APPLIED (phase1 ok, fillers 1/2)
  follow-s-4 × G4 × N2: dropped (phase1 ok, fillers 2/2)
  follow-s-4 × G5 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-5 × G1 × N0: dropped (phase1 ok, fillers 0/0)
  follow-s-4 × G5 × N2: APPLIED (phase1 ok, fillers 2/2)
