
=== anthropic/claude-sonnet-4.5 → results/raw/followup-anthropic_claude-sonnet-4.5.jsonl
Study G: 240 cells (120 already done) for anthropic/claude-sonnet-4.5
  follow-s-1 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-1 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-1 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-1 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-1 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-2 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-3 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-3 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-3 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-3 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-4 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-3 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-4 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-3 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-4 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-4 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-4 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-4 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-5 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-5 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-5 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-5 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-5 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-6 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-5 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-6 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-6 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-6 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-6 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-7 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-6 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-7 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-7 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-7 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-8 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-7 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-7 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-8 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-8 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-8 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-8 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-9 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-8 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-9 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-9 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-10 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-9 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-9 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-9 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-10 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-10 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-10 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-10 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-11 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-10 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-11 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-11 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-11 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-12 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-11 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-11 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-12 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-12 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-12 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-12 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-13 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-12 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-13 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-13 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-13 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-14 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-13 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-13 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-14 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-14 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-14 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-14 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-15 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-14 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-15 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-15 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-15 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-15 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-16 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-15 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-16 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-16 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-16 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-17 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-16 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-16 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-17 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-17 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-17 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-18 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-17 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-17 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-18 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-18 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-18 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-19 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-18 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-19 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-19 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-18 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-19 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-20 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-s-19 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-19 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-20 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-20 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-20 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-s-20 × G1 × N6: APPLIED (phase1 ok, fillers 6/6)
  follow-s-20 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-1 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-1 × G2 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-1 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-1 × G3 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-2 × G1 × N0: APPLIED (phase1 ok, fillers 0/0)
  follow-m-2 × G1 × N2: APPLIED (phase1 ok, fillers 2/2)
  follow-m-1 × G4 × N2: APPLIED (phase1 ok, fillers 2/2)
